package,version,license,url,dependencies,dependent of
six,1.12.0,MIT License,https://github.com/benjaminp/six/blob/master/LICENSE,,tensorflow tensorflow-estimator tensorboard Sphinx pytest protobuf packaging mock Keras Keras-Preprocessing h5py grpcio cryptography absl-py
snowballstemmer,1.2.1,BSD License,https://github.com/shibukawa/snowball_py/blob/master/LICENSE.rst,,Sphinx
Sphinx,1.8.4,BSD License,http://www.sphinx-doc.org/en/master/,Jinja2 sphinxcontrib-websupport Pygments six requests imagesize snowballstemmer packaging alabaster setuptools babel docutils,sphinx-autodoc-typehints
sphinx-autodoc-typehints,1.6.0,MIT License,https://github.com/agronholm/sphinx-autodoc-typehints/blob/master/LICENSE,Sphinx,
sphinx-rtd-theme,0.4.2,MIT License,https://github.com/rtfd/sphinx_rtd_theme/blob/master/LICENSE,sphinx,
sphinxcontrib-websupport,1.1.0,BSD License,http://www.sphinx-doc.org/en/master/,,Sphinx
tensorboard,1.13.0,Apache 2.0,https://github.com/tensorflow/tensorboard/blob/master/LICENSE,grpcio absl-py markdown protobuf werkzeug six wheel numpy,tensorflow
tensorflow,1.13.1,Apache 2.0,https://github.com/tensorflow/tensorflow/blob/master/LICENSE,tensorboard protobuf gast termcolor keras-preprocessing tensorflow-estimator wheel absl-py grpcio six astor numpy keras-applications,
tensorflow-estimator,1.13.0,Apache 2.0,https://github.com/tensorflow/tensorflow/blob/master/LICENSE,numpy six absl-py mock,tensorflow
termcolor,1.1.0,MIT License,http://pypi.python.org/pypi/termcolor,,tensorflow
urllib3,1.24.1,MIT License,https://github.com/urllib3/urllib3/blob/master/LICENSE.txt,,requests
virtualenv,16.3.0,MIT License,https://github.com/pypa/virtualenv/blob/master/LICENSE.txt,,
Werkzeug,0.14.1,BSD License,https://pypi.org/project/Werkzeug/,,Flask
wheel,0.32.3,MIT License,https://github.com/pypa/wheel/blob/master/LICENSE.txt,,tensorflow tensorboard
